Feature,Correlation_with_Income,Feature_Type
Kidhome,0.4286690079691864,Old
Teenhome,0.019133378179404935,Old
MntWines,0.5786497501367384,Old
MntFruits,0.4308416809908741,Old
MntMeatProducts,0.5846333567663233,Old
MntFishProducts,0.4388713594516408,Old
MntSweetProducts,0.44074379151936877,Old
MntGoldProds,0.32591644649726587,Old
NumWebPurchases,0.38787781129179105,Old
NumCatalogPurchases,0.5891624419343269,Old
NumStorePurchases,0.5293621402734195,Old
Age,0.1617914281963298,New
Total_Spending,0.6675760903888284,New
Total_Purchases,0.6257545333313768,New
