ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Marital_Divorced,Marital_Married,Marital_Single,Marital_Together,Marital_Widow,Age,Total_Dependents,Is_Parent,Total_Spending,Total_Purchases,Average_Spent,Tenure_Days,Total_Accepted_Cmp,Web_Ratio,Store_Ratio,Catalog_Ratio,Deals_Ratio,Ever_Accepted_Campaign,Wine_Ratio,Fruit_Ratio,Meat_Ratio,Fish_Ratio,Sweet_Ratio,Gold_Ratio,Engagement_Ratio,Activity_Index,Recency_Score,Tenure_Score,Lifecycle_Group
5524,1957,2.0,58138.0,0,0,2012-09-04,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,1,False,False,True,False,False,68,0,0,1551.5,22,70.52272727272727,4701,0,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.13636363636363635,0,0.4092813406380922,0.05220754108926845,0.3519174991943281,0.07766677408959072,0.05220754108926845,0.05671930389945214,81.05172274048755,81.05172413793103,3,5,3-5
2174,1954,2.0,46344.0,1,1,2014-03-08,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,0,False,False,True,False,False,71,2,1,27.0,4,6.75,4151,0,0.25,0.5,0.25,0.5,0,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,109.2368392306095,109.23684210526315,4,1,4-1
4141,1965,2.0,71613.0,0,0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,0,False,False,False,True,False,60,0,0,776.0,20,38.8,4350,0,0.4,0.5,0.1,0.05,0,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,167.3076858727813,167.30769230769232,4,3,4-3
6182,1984,2.0,26646.0,1,0,2014-02-10,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,0,False,False,False,True,False,41,1,1,53.0,6,8.833333333333334,4177,0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,160.6538399748523,160.65384615384616,4,1,4-1
5324,1981,4.0,58293.0,1,0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,0,False,True,False,False,False,44,1,1,422.0,14,30.142857142857142,4199,0,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.35714285714285715,0,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,44.67021229074243,44.670212765957444,1,2,1-2
7446,1967,3.0,62513.0,0,1,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,0,False,False,False,True,False,58,1,1,716.0,20,35.8,4331,0,0.3,0.5,0.2,0.1,0,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,270.6874830820323,270.6875,5,3,5-3
965,1971,2.0,55635.0,0,1,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,0,True,False,False,False,False,54,1,1,590.0,17,34.705882352941174,4631,0,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.23529411764705882,0,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,136.20587834688595,136.2058823529412,4,5,4-5
6177,1985,4.0,33454.0,1,0,2013-05-08,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,0,False,True,False,False,False,40,1,1,169.0,8,21.125,4455,0,0.5,0.5,0.0,0.25,0,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,139.21874564941422,139.21875,4,3,4-3
4855,1974,4.0,30351.0,1,0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,1,False,False,False,True,False,51,1,1,46.0,5,9.2,4426,0,0.6,0.4,0.0,0.2,0,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,232.94735616066546,232.94736842105263,5,3,5-3
5899,1950,4.0,5648.0,1,1,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0,13,1,0,0,0,0,0,0,False,False,False,True,False,75,2,1,49.0,1,49.0,4146,1,1.0,0.0,0.0,1.0,1,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,60.97058733866783,60.970588235294116,2,1,2-1
