Education,Marital_Status,Income,Dt_Customer,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Total_Children,Total_Spending,Total_Purchases,Tenure_Days,TotalAcceptedCmp,WebPurchaseRatio,StorePurchaseRatio
2,4,58138.0,2012-09-04,58,3,8,10,4,7,68,0,1551.5,22,4693,0,0.36363636363636365,0.18181818181818182
2,4,46344.0,2014-03-08,38,2,1,1,2,5,71,2,27.0,4,4143,0,0.25,0.5
2,5,71613.0,2013-08-21,26,1,8,2,10,4,60,0,776.0,20,4342,0,0.4,0.5
2,5,26646.0,2014-02-10,26,2,2,0,4,6,41,1,53.0,6,4169,0,0.3333333333333333,0.6666666666666666
4,3,58293.0,2014-01-19,94,5,5,3,6,5,44,1,422.0,14,4191,0,0.35714285714285715,0.42857142857142855
3,5,62513.0,2013-09-09,16,2,6,4,10,6,58,1,716.0,20,4323,0,0.3,0.5
2,2,55635.0,2012-11-13,34,4,7,3,7,6,54,1,590.0,17,4623,0,0.4117647058823529,0.4117647058823529
4,3,33454.0,2013-05-08,32,2,4,0,4,8,40,1,169.0,8,4447,0,0.5,0.5
4,5,30351.0,2013-06-06,19,1,3,0,2,9,51,1,46.0,5,4418,0,0.6,0.4
4,5,5648.0,2014-03-13,68,1,1,0,0,13,75,2,49.0,1,4138,0,1.0,0.0
2,3,51381.5,2013-11-15,11,1,1,0,2,7,42,1,19.0,3,4256,0,0.3333333333333333,0.6666666666666666
1,3,7500.0,2012-11-13,59,1,2,0,3,8,49,0,61.0,5,4623,0,0.4,0.6
2,2,63033.0,2013-11-15,82,1,3,4,8,2,66,0,966.5,15,4256,0,0.2,0.5333333333333333
3,2,59354.0,2013-11-15,53,3,6,1,5,6,73,2,310.0,12,4256,0,0.5,0.4166666666666667
2,3,17323.0,2012-10-10,38,1,1,0,3,8,38,0,46.0,4,4657,0,0.25,0.75
4,4,82800.0,2012-11-24,23,1,7,6,12,3,79,0,1315.0,25,4612,0,0.28,0.48
2,3,41850.0,2012-12-24,51,3,3,0,3,8,45,2,96.0,6,4582,0,0.5,0.5
2,5,37760.0,2012-08-31,20,2,4,1,6,7,79,0,287.5,11,4697,0,0.36363636363636365,0.5454545454545454
3,3,76995.0,2013-03-28,91,2,11,4,9,5,76,1,1732.5,24,4488,0,0.4583333333333333,0.375
0,4,33812.0,2012-11-03,86,2,2,1,3,6,40,1,133.0,6,4633,0,0.3333333333333333,0.5
2,3,37040.0,2012-08-08,41,1,4,2,5,8,43,0,316.0,11,4720,0,0.36363636363636365,0.45454545454545453
2,3,2447.0,2013-01-06,42,6,0,10,0,1,46,1,561.0,10,4569,0,0.0,0.0
4,3,58607.0,2012-12-23,63,3,2,3,9,8,76,1,972.0,14,4583,0,0.14285714285714285,0.6428571428571429
4,3,65324.0,2014-01-11,0,3,6,2,9,4,71,1,544.0,17,4199,0,0.35294117647058826,0.5294117647058824
2,5,40689.0,2013-03-18,69,6,7,1,5,8,74,1,444.0,13,4498,0,0.5384615384615384,0.38461538461538464
2,4,18589.0,2013-01-02,89,2,2,1,3,7,56,0,75.0,6,4573,0,0.3333333333333333,0.5
2,3,53359.0,2013-05-27,4,4,5,1,4,7,49,2,257.0,10,4428,0,0.5,0.4
2,4,51381.5,2013-02-20,19,0,12,0,0,1,39,1,219.5,12,4524,0,1.0,0.0
2,3,38360.0,2013-05-31,26,2,2,1,4,3,36,1,131.0,7,4424,0,0.2857142857142857,0.5714285714285714
4,3,84618.0,2013-11-22,96,1,6,9,10,2,60,0,1408.0,25,4249,0,0.24,0.4
3,2,10979.0,2014-05-22,34,2,3,0,3,5,36,0,30.0,6,4068,0,0.5,0.5
3,5,38620.0,2013-05-11,56,1,2,5,3,3,62,0,318.0,10,4444,0,0.2,0.3
2,5,40548.0,2012-10-10,31,2,2,1,4,5,55,1,120.0,7,4657,0,0.2857142857142857,0.5714285714285714
4,2,46610.0,2012-10-29,8,6,4,1,6,6,73,2,302.0,11,4638,0,0.36363636363636365,0.5454545454545454
3,3,68657.0,2013-02-20,4,1,3,5,9,7,79,0,1196.0,17,4524,0,0.17647058823529413,0.5294117647058824
3,4,49389.0,2013-08-29,55,1,2,0,3,7,74,2,65.0,5,4334,0,0.4,0.6
4,3,67353.0,2013-12-31,37,5,5,6,12,2,55,1,913.0,23,4210,0,0.21739130434782608,0.5217391304347826
0,3,23718.0,2013-09-02,76,3,3,1,2,7,49,1,81.0,6,4330,0,0.5,0.3333333333333333
2,6,42429.0,2014-02-11,99,2,1,1,3,5,52,1,67.0,5,4168,0,0.2,0.6
4,2,48948.0,2013-02-01,53,2,7,10,5,6,82,0,862.5,22,4543,0,0.3181818181818182,0.22727272727272727
2,3,80011.0,2013-04-29,3,2,8,6,5,4,45,1,1298.0,19,4456,0,0.42105263157894735,0.2631578947368421
3,3,20559.0,2013-03-12,88,2,2,0,3,8,40,1,53.0,5,4504,0,0.4,0.6
2,5,21994.0,2012-12-24,4,1,0,0,3,5,68,1,22.0,3,4582,0,0.0,1.0
4,4,51381.5,2013-11-05,80,1,1,3,4,2,66,0,186.0,8,4266,0,0.125,0.5
3,3,7500.0,2013-10-02,19,3,2,0,3,5,50,1,31.0,5,4300,0,0.4,0.6
2,4,79941.0,2014-06-28,72,1,2,4,9,1,49,0,747.0,15,4031,0,0.13333333333333333,0.6
0,3,7500.0,2012-11-09,24,3,3,1,3,9,29,0,122.0,7,4627,0,0.42857142857142855,0.42857142857142855
2,5,41728.0,2013-05-24,92,1,2,0,2,10,57,1,55.0,4,4431,0,0.5,0.5
2,4,51381.5,2014-01-01,96,3,2,1,4,6,74,3,124.0,7,4209,0,0.2857142857142857,0.5714285714285714
